tahun,wilayah,penyebab,jumlah
2019,Jakarta Selatan,Lainnya,54
2019,Jakarta Timur,Listrik,294
2019,Jakarta Timur,Gas,56
2019,Jakarta Timur,Lilin,7
2019,Jakarta Timur,Membakar Sampah,103
2019,Jakarta Timur,Rokok,46
2019,Jakarta Timur,Lainnya,71
2019,Jakarta Pusat,Listrik,182
2019,Jakarta Pusat,Gas,24
2019,Jakarta Pusat,Lilin,4
2019,Jakarta Pusat,Membakar Sampah,22
2019,Jakarta Pusat,Rokok,14
2019,Jakarta Pusat,Lainnya,28
2019,Jakarta Barat,Listrik,211
2019,Jakarta Barat,Gas,33
2019,Jakarta Barat,Lilin,6
2019,Jakarta Barat,Membakar Sampah,98
2019,Jakarta Barat,Rokok,22
2019,Jakarta Barat,Lainnya,46
2019,Jakarta Utara,Listrik,182
2019,Jakarta Utara,Gas,19
2019,Jakarta Utara,Lilin,6
2019,Jakarta Utara,Membakar Sampah,75
2019,Jakarta Utara,Rokok,23
2019,Jakarta Utara,Lainnya,32
2020,Kepulauan Seribu,Listrik,1
2020,Kepulauan Seribu,Gas,5
2020,Kepulauan Seribu,Lilin,0
2020,Kepulauan Seribu,Membakar Sampah,0
2020,Kepulauan Seribu,Rokok,2
2020,Kepulauan Seribu,Lainnya,1
2020,Jakarta Selatan,Listrik,266
2020,Jakarta Selatan,Gas,57
2020,Jakarta Selatan,Lilin,0
2020,Jakarta Selatan,Membakar Sampah,14
2020,Jakarta Selatan,Rokok,5
2020,Jakarta Selatan,Lainnya,55
2020,Jakarta Timur,Listrik,202
2020,Jakarta Timur,Gas,32
2020,Jakarta Timur,Lilin,0
2020,Jakarta Timur,Membakar Sampah,38
2020,Jakarta Timur,Rokok,13
2020,Jakarta Timur,Lainnya,64
2020,Jakarta Pusat,Listrik,108
2020,Jakarta Pusat,Gas,21
2020,Jakarta Pusat,Lilin,3
2020,Jakarta Pusat,Membakar Sampah,8
2020,Jakarta Pusat,Rokok,1
2020,Jakarta Pusat,Lainnya,19
2020,Jakarta Barat,Listrik,201
2020,Jakarta Barat,Gas,32
2020,Jakarta Barat,Lilin,1
2020,Jakarta Barat,Membakar Sampah,36
2020,Jakarta Barat,Rokok,10
2020,Jakarta Barat,Lainnya,53
2020,Jakarta Utara,Listrik,160
2020,Jakarta Utara,Gas,33
2020,Jakarta Utara,Lilin,3
2020,Jakarta Utara,Membakar Sampah,27
2020,Jakarta Utara,Rokok,5
2020,Jakarta Utara,Lainnya,29
